config_id,size_n,K,k_paired,mean_visits,mean_pct_delta_visits_vs_base,pct_delta_ci95_lo,pct_delta_ci95_hi,ci_informative,base_tiebreak_noise_pct,frac_instances_wl_broken,mean_n_pairs_kept,n_rows,n_ok,n_partial_assign,n_degenerate,n_timeout,n_error
base,50,60,60,7694.15,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,60,60,0,0,0,0
corner_loose,50,12,12,8188.75,6.580700835535203,4.070290181051677,9.09111149001873,True,0.09034412610134489,1.0,1222.5833333333333,12,12,0,0,0,0
corner_tight,50,12,12,7503.25,-2.3904106772708675,-3.7641862338113876,-1.0166351207303477,True,0.09034412610134489,1.0,300.0833333333333,12,12,0,0,0,0
minfreq_x0.5,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
minfreq_x0.75,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
minfreq_x1.5,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
minfreq_x2,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
mnoppc_x0.5,50,12,12,8188.75,6.580700835535203,4.070290181051677,9.09111149001873,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
mnoppc_x0.75,50,12,12,7914.25,3.033851999033743,1.2181189972532485,4.849585000814238,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
mnoppc_x1.5,50,12,12,7675.916666666667,-0.3067348471982522,-1.6907390327678538,1.0772693383713492,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
mnoppc_x2,50,12,12,7507.666666666667,-2.3188294074750613,-3.5563710546826073,-1.0812877602675155,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
preproc_x0.5,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
preproc_x0.75,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
preproc_x1.5,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
preproc_x2,50,12,12,7698.416666666667,0.0,0.0,0.0,True,0.09034412610134489,1.0,1022.0833333333334,12,12,0,0,0,0
ratio_x0.5,50,12,12,7701.083333333333,0.02750926867134564,-0.053966137208191337,0.10898467455088261,True,0.09034412610134489,1.0,1222.5833333333333,12,12,0,0,0,0
ratio_x0.75,50,12,12,7701.083333333333,0.02750926867134564,-0.053966137208191337,0.10898467455088261,True,0.09034412610134489,1.0,1151.8333333333333,12,12,0,0,0,0
ratio_x1.5,50,12,12,7795.833333333333,1.1526125067145616,0.4086298393843958,1.8965951740447275,True,0.09034412610134489,1.0,638.0,12,12,0,0,0,0
ratio_x2,50,12,12,7749.75,0.6808473431774416,-0.41755982466346153,1.7792545110183446,True,0.09034412610134489,1.0,300.0833333333333,12,12,0,0,0,0
base,500,50,50,78631.64,0.0,0.0,0.0,True,0.07623010226555856,0.82,719.5,50,50,0,0,0,0
corner_loose,500,10,10,80232.2,1.9960940005338828,1.3254661655074966,2.666721835560269,True,0.07623010226555856,0.6,1615.8,10,10,0,0,0,0
corner_tight,500,10,10,77775.9,-1.108127766738884,-1.5850920257495287,-0.6311635077282394,True,0.07623010226555856,0.9,638.9,10,10,0,0,0,0
minfreq_x0.5,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
minfreq_x0.75,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
minfreq_x1.5,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
minfreq_x2,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
mnoppc_x0.5,500,10,10,79699.7,1.3321669978982589,0.9389479671945284,1.7253860286019893,True,0.07623010226555856,0.7,719.5,10,10,0,0,0,0
mnoppc_x0.75,500,10,10,79266.9,0.7780903727639993,0.3659155768393481,1.1902651686886505,True,0.07623010226555856,0.9,719.5,10,10,0,0,0,0
mnoppc_x1.5,500,10,10,78231.9,-0.5598824214345981,-1.0275420233554242,-0.09222281951377187,True,0.07623010226555856,0.9,719.5,10,10,0,0,0,0
mnoppc_x2,500,10,10,77634.5,-1.301958299853807,-1.6770505285041617,-0.9268660712034524,True,0.07623010226555856,1.0,719.5,10,10,0,0,0,0
preproc_x0.5,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
preproc_x0.75,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
preproc_x1.5,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
preproc_x2,500,10,10,78647.0,0.0,0.0,0.0,True,0.07623010226555856,0.8,719.5,10,10,0,0,0,0
ratio_x0.5,500,10,10,79026.2,0.488945661373101,0.049844563473629755,0.9280467592725723,True,0.07623010226555856,0.9,1561.6,10,10,0,0,0,0
ratio_x0.75,500,10,10,78585.0,-0.060787688932230036,-0.3636861874307022,0.24211080956624215,True,0.07623010226555856,0.8,758.6,10,10,0,0,0,0
ratio_x1.5,500,10,10,78686.8,0.055690065484170534,-0.1751502956974031,0.2865304266657442,True,0.07623010226555856,0.6,707.4,10,10,0,0,0,0
ratio_x2,500,10,10,78952.2,0.404934771275354,-0.05413782023224084,0.8640073627829488,True,0.07623010226555856,0.9,638.9,10,10,0,0,0,0
base,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
corner_loose,1000,1,1,235280.0,2.1029882742997996,,,False,,1.0,1152.0,1,1,0,0,0,0
minfreq_x0.5,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
minfreq_x0.75,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
minfreq_x1.5,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
minfreq_x2,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
mnoppc_x0.5,1000,1,1,235280.0,2.1029882742997996,,,False,,1.0,1136.0,1,1,0,0,0,0
mnoppc_x0.75,1000,1,1,230701.0,0.1158683180433443,,,False,,1.0,1136.0,1,1,0,0,0,0
mnoppc_x1.5,1000,1,1,228671.0,-0.7650780700764644,,,False,,1.0,1136.0,1,1,0,0,0,0
mnoppc_x2,1000,1,1,226832.0,-1.5631373842401728,,,False,,1.0,1136.0,1,1,0,0,0,0
preproc_x0.5,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
preproc_x0.75,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
preproc_x1.5,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
preproc_x2,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
ratio_x0.5,1000,1,1,230434.0,0.0,,,False,,1.0,1137.0,1,1,0,0,0,0
ratio_x0.75,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
ratio_x1.5,1000,1,1,230434.0,0.0,,,False,,1.0,1136.0,1,1,0,0,0,0
ratio_x2,1000,1,1,230169.0,-0.11500039056736419,,,False,,1.0,1096.0,1,1,0,0,0,0
