size_n,method,n,mean_visits,ci95_lo,ci95_hi,ci_informative,mean_gap_vs_ref_pct,time_entry_s,time_kind,time_measured_s,wl_viol_frac,cap_viol_frac
50,Hexaly,12,7555.7,6826.0,8285.3,True,0.0,120.0,budget,120.4,0.0,0.0
50,CG-SetPart,12,7589.8,6857.3,8322.3,True,0.45,85.9,measured,85.9,0.0,0.0
50,Heuristic,12,8141.8,7277.7,9005.8,True,7.57,3.9,measured,3.9,0.0,0.0
50,SA-C,12,7632.2,6889.0,8375.5,True,1.0,54.1,measured,54.1,0.0,0.0
50,GA,12,7767.4,7021.5,8513.3,True,2.82,48.2,measured,48.2,0.0,0.0
50,LPT start,12,8857.2,8053.9,9660.6,True,17.44,0.0,measured,0.0,0.0,0.0
500,Hexaly,10,76406.8,68370.3,84443.3,True,0.0,300.0,budget,309.6,0.0,0.0
500,CG-SetPart,10,76681.4,68658.5,84704.3,True,0.37,256.1,measured,256.1,0.0,0.0
500,Heuristic,10,78803.6,70525.6,87081.6,True,3.14,20.4,measured,20.4,0.0,0.0
500,SA-C,10,88688.8,79245.1,98132.5,True,16.06,300.0,budget,342.6,0.0,0.0
500,GA,10,85362.7,76202.3,94523.1,True,11.68,300.0,budget,303.1,0.0,0.0
500,LPT start,10,90177.1,80418.6,99935.6,True,17.98,0.0,measured,0.0,0.0,0.0
1000,Hexaly,4,196514.8,151550.5,241479.0,False,0.0,600.0,budget,635.3,0.0,0.0
1000,CG-SetPart,4,192452.0,149958.7,234945.3,False,-2.01,600.0,budget,599.4,0.0,0.0
1000,Heuristic,4,197145.8,153828.7,240462.8,False,0.38,17.0,measured,17.0,0.0,0.0
1000,SA-C,4,240693.2,191894.1,289492.4,False,22.76,600.0,budget,743.2,0.0,0.0
1000,GA,4,235207.5,186296.5,284118.5,False,19.89,600.0,budget,605.5,0.0,0.0
1000,LPT start,4,245228.2,195489.2,294967.3,False,25.07,0.0,measured,0.0,0.0,0.0
2000,Hexaly,3,506763.0,291290.2,722235.8,False,0.0,1200.0,budget,1352.6,0.0,0.0
2000,CG-SetPart,3,476692.3,283442.9,669941.8,False,-5.85,1200.0,budget,1199.4,0.0,0.0
2000,Heuristic,3,484398.0,300044.8,668751.2,False,-4.23,38.4,measured,38.4,0.0,0.0
2000,SA-C,3,615489.7,338719.1,892260.2,False,21.38,1200.0,budget,1439.4,0.0,0.0
2000,GA,3,608866.7,336745.9,880987.4,False,20.08,1200.0,budget,1223.0,0.0,0.0
2000,LPT start,3,621096.0,341333.7,900858.3,False,22.48,0.0,measured,0.0,0.0,0.0
